number,time,duration,x,y,avg_dilation
1,356,140,435,196,0.06990178571428585
2,555,279,289,205,0.19340178571428535
3,914,219,151,310,0.008598214285714167
4,2090,160,262,221,0.1150982142857142
5,2270,199,293,224,0.12459821428571427
6,2549,100,67,232,
7,3785,140,237,733,
8,4005,120,238,729,0.10409821428571409
9,4204,120,222,735,0.16059821428571386
10,4583,139,227,747,0.05059821428571398
11,4942,120,246,619,0.1800982142857137
12,5141,399,240,621,0.07109821428571372
13,5580,100,235,630,
14,5699,160,241,649,0.14059821428571428
15,5998,140,232,632,0.019401785714285857
16,6158,259,237,687,0.04759821428571431
17,6836,159,332,698,
18,7055,259,335,700,0.062598214285714
19,7334,100,262,609,0.08190178571428586
20,7454,139,248,615,0.03459821428571441
21,7633,100,256,634,0.01909821428571412
22,8012,100,253,639,0.025401785714286085
23,8949,319,192,648,0.04540178571428566
24,9408,160,194,637,0.09909821428571419
25,9786,100,186,662,
26,10325,140,189,653,0.021901785714286248
27,11681,179,243,533,
28,11880,379,237,553,
29,12378,100,231,549,
30,12598,120,223,537,0.034098214285714246
31,12877,100,197,516,
32,12996,120,203,518,0.025901785714285808
33,13694,279,219,532,0.003098214285714107
34,14013,199,211,549,0.10340178571428549
35,14272,180,241,545,0.023598214285714292
36,14472,319,243,538,
37,15170,100,263,641,0.012901785714285907
38,15469,239,257,618,
39,15728,120,251,632,0.13240178571428585
40,16087,120,243,634,0.051401785714285886
41,16804,140,246,638,0.01659821428571462
42,17064,179,277,535,
43,17263,100,269,511,0.05609821428571404
44,17821,219,135,493,0.03459821428571397
45,18180,160,123,491,0.008598214285713723
46,18479,160,123,493,0.07090178571428574
47,18659,180,119,487,
48,19117,120,125,499,
49,19476,100,169,528,0.08559821428571368
50,19795,100,167,530,0.05640178571428578
51,19955,199,203,509,0.08959821428571413
52,20652,199,156,595,0.1200982142857141
53,21689,239,134,494,0.08940178571428614
54,21948,479,126,494,
55,22487,140,213,548,0.07659821428571378
56,22666,160,136,495,0.14209821428571434
57,22846,100,142,492,
58,23045,120,202,516,
59,23264,159,202,539,
60,24201,219,218,543,0.024098214285714015
61,24580,140,246,540,0.017401785714286078
62,25019,100,64,203,0.016098214285714008
63,25477,100,279,214,0.043901785714286046
64,25796,319,307,602,0.034098214285714246
65,26654,140,230,625,
66,27192,140,196,701,0.013598214285714061
67,27471,279,329,602,0.006401785714285957
68,27989,538,290,210,0.02040178571428619
69,28587,140,294,608,0.11459821428571404
70,29345,678,304,223,0.011901785714286017
71,30063,199,322,611,0.12659821428571405
72,30502,239,335,595,0.024098214285714015
73,30761,159,334,592,0.03559821428571386
74,30940,379,286,208,
75,31459,100,331,619,0.10059821428571425
76,31578,100,336,620,0.0755982142857139
77,31698,219,324,629,0.10309821428571375
78,31937,279,289,608,0.05509821428571371
79,32376,259,290,613,0.07309821428571395
80,33293,159,369,605,0.16190178571428593
81,33532,140,369,607,0.09640178571428581
82,34250,100,265,684,0.05040178571428555
83,34469,159,280,667,0.22990178571428554
84,35147,160,312,650,0.1974017857142858
85,35346,180,309,660,0.03740178571428565
86,35665,199,306,648,0.003901785714285566
87,35925,199,308,660,
88,36323,139,261,696,
89,36822,179,261,699,
90,37061,140,330,667,
91,37220,100,280,654,0.0859017857142863
92,37440,120,274,665,0.035901785714285595
93,38317,100,207,728,0.10990178571428588
94,38656,140,314,703,
95,39513,100,973,820,0.14140178571428574
96,39992,120,1023,759,0.18390178571428617
97,40291,120,1005,785,0.1399017857142857
98,40510,120,1014,769,0.14890178571428603
99,41387,120,302,684,0.05559821428571432
100,42165,100,270,729,0.015098214285713674
101,43361,120,190,581,0.09309821428571441
102,44079,120,218,542,0.0015982142857140502
103,44438,219,223,549,0.013098214285713894
104,44677,100,220,545,0.051401785714285886
105,50060,120,275,642,0.04440178571428621
106,51954,140,262,728,0.03990178571428604
107,53549,120,232,633,0.01459821428571395
108,54546,399,290,641,0.047098214285714146
109,55383,100,297,607,
110,55503,180,277,615,0.04690178571428616
111,57716,199,1001,747,0.05240178571428622
112,58334,120,995,761,0.11890178571428578
113,59172,140,1011,814,0.02559821428571407
114,60428,120,1037,826,0.05709821428571438
115,60567,100,1024,802,0.010901785714286127
116,60767,180,1029,814,0.060598214285714214
117,62760,140,894,656,0.030401785714285978
118,63817,180,923,707,
119,64176,120,900,753,
120,64674,100,851,724,0.04640178571428599
121,66529,120,856,610,0.004098214285714441
122,66728,100,894,730,0.055901785714286056
123,69160,180,808,565,0.02540178571428564
124,70556,199,271,589,0.013098214285714338
125,70775,100,283,582,0.010598214285714391
126,74404,259,293,189,0.14690178571428625
127,74783,299,84,215,0.07040178571428601
128,75301,538,297,183,0.17290178571428605
129,75979,459,100,201,0.14340178571428597
130,76477,279,299,182,0.1259017857142859
131,77235,100,328,658,0.00909821428571389
132,79707,299,520,179,0.08240178571428602
133,80026,140,594,184,0.0575982142857141
134,80206,259,596,181,0.10159821428571414
135,80525,120,646,208,0.005401785714285623
136,80664,359,667,209,0.06040178571428623
137,81083,159,666,214,
138,81482,140,572,232,
139,81681,100,575,234,
140,81880,140,344,225,
141,82558,159,71,219,0.0019017857142857864
142,84253,160,344,716,
143,84652,120,279,589,
144,84871,239,274,598,0.059901785714285616
145,85948,100,954,715,0.09090178571428575
146,86486,120,326,537,0.08390178571428564
147,86646,259,311,544,0.051401785714285886
148,86925,120,309,538,0.08290178571428619
149,87164,140,314,550,0.03240178571428576
150,87323,199,306,550,0.034098214285714246
151,87682,339,304,613,0.06240178571428601
152,88061,140,297,621,0.11340178571428572
153,88679,120,245,634,
154,89138,299,239,619,0.06140178571428567
155,89477,140,239,629,0.055901785714286056
156,89656,140,183,670,0.06840178571428623
157,89855,100,191,663,0.012598214285714171
158,89975,120,190,659,0.040901785714286376
159,90414,339,192,664,0.0714017857142859
160,90852,100,187,675,0.11640178571428583
161,91351,140,206,622,0.036401785714286206
162,91949,100,265,582,
163,92926,120,217,562,0.009401785714285626
164,93165,160,202,523,0.05809821428571382
165,93364,259,187,547,0.053401785714285666
166,93743,339,325,598,0.059901785714285616
167,94441,140,148,563,0.09340178571428615
168,94660,339,134,558,0.036401785714286206
169,95099,120,138,574,
170,96235,159,197,644,0.05709821428571393
171,96614,120,118,624,0.13840178571428563
172,96953,179,104,625,0.1689017857142856
173,98448,120,211,627,0.0414017857142861
174,98628,100,217,596,0.15790178571428548
175,99007,120,206,613,0.06590178571428584
176,99186,120,203,608,0.14490178571428602
177,99924,160,222,615,0.20340178571428602
178,100283,120,325,587,0.11890178571428578
179,100422,239,328,583,0.08790178571428608
180,100701,180,326,590,0.021901785714285804
181,101200,120,327,586,0.07790178571428585
182,101339,140,319,586,
