time,duration,x,y,avg_dilation
264,100,673,469,0.214598214
504,140,705,553,
763,179,648,534,0.032901786
1142,179,641,454,0.034901786
1780,120,674,482,0.128901786
3534,120,134,189,
4112,139,388,191,0.136098214
4591,199,350,454,0.167098214
4810,359,479,452,0.256098214
5568,100,686,432,
5687,100,679,425,0.125598214
6624,219,119,193,0.149598214
6963,299,119,196,0.114098214
7781,160,292,203,0.122098214
7980,499,471,228,0.264098214
8499,299,471,232,0.151598214
8818,279,556,240,0.196098214
9117,180,604,235,0.216098214
9755,140,201,179,0.121098214
10034,120,200,174,0.148598214
10173,140,311,207,0.173098214
10333,120,313,193,0.010901786
10672,120,447,189,0.097098214
10891,100,554,204,
11130,319,698,212,
11788,120,244,208,0.139098214
11988,139,91,246,0.123598214
12606,160,123,229,0.244598214
13004,160,295,218,0.221598214
13184,180,269,233,0.193098214
13403,219,77,271,0.132598214
13842,119,263,215,0.163598214
14500,120,579,242,0.165598214
14699,140,626,250,0.019401786
14958,119,628,220,0.205098214
15098,259,617,194,0.248098214
15397,239,620,188,0.226598214
15656,339,491,172,0.309098214
16334,100,254,201,0.116598214
16573,319,72,239,0.173098214
16932,299,266,214,0.087098214
17291,180,525,190,0.133598214
17490,159,608,199,0.083598214
17670,359,612,225,0.100598214
18049,120,513,237,0.146598214
18188,139,505,220,0.239098214
18368,778,609,221,0.185098214
19165,758,619,220,0.069598214
19963,279,623,208,0.207598214
20262,1196,622,206,
21478,399,623,222,0.294598214
21897,259,667,211,0.278598214
22235,518,619,207,
22794,1635,623,199,0.218598214
24449,279,598,191,0.315098214
24867,139,580,212,0.474098214
25047,399,586,201,0.396598214
25605,578,503,195,0.282098214
26203,498,617,204,0.305098214
26921,399,753,218,0.255098214
27359,957,622,194,0.240598214
28436,798,617,198,0.142098214
29293,179,507,182,0.360598214
29612,379,479,195,0.313098214
30011,100,474,236,0.142598214
30131,259,601,279,0.213098214
30470,239,608,275,0.273598214
30829,179,718,264,0.105598214
31028,299,787,239,0.108598214
31566,120,686,291,0.153598214
31726,100,686,297,0.070098214
32005,538,575,245,0.108098214
32782,1057,612,231,
33879,140,572,247,0.144598214
34039,239,567,235,0.138598214
34298,618,607,238,0.213098214
34936,179,605,236,0.121098214
35135,279,589,185,0.240598214
35434,678,629,170,0.084598214
36152,339,590,244,0.227598214
36531,319,570,249,0.297098214
36870,299,571,241,0.328098214
37209,199,450,225,0.311598214
38524,199,446,232,0.597598214
39282,120,448,233,0.393098214
39442,219,608,239,0.286098214
39781,100,614,247,0.392098214
39900,558,609,242,0.265598214
40478,100,603,238,0.232098214
40598,279,607,242,0.129598214
40897,199,601,274,0.208098214
41116,139,638,259,0.222598214
41276,199,730,265,
41615,159,604,269,0.212598214
41794,359,609,279,0.162098214
42173,319,606,273,0.156098214
42512,140,606,267,0.130598214
42751,339,513,260,0.127598214
43170,140,647,260,0.228098214
43728,439,611,260,0.231598214
44227,239,608,263,0.267098214
44486,100,604,272,
44605,199,606,268,0.096098214
44825,439,614,265,0.066598214
45303,160,612,263,0.182098214
45503,219,616,275,0.222598214
45841,578,515,304,0.158098214
46898,199,257,247,0.210598214
47177,100,92,265,0.055098214
47317,160,81,255,0.061901786
47596,100,275,242,0.083598214
47775,140,505,270,
48094,459,493,274,0.121598214
48712,120,483,306,0.015098214
48932,259,457,265,0.068598214
49211,140,440,225,0.049901786
49370,279,450,233,
50148,279,622,285,0.015598214
50547,299,609,302,0.042401786
51125,180,675,292,0.159098214
51384,120,728,294,0.107598214
51524,179,768,302,0.154098214
51723,199,657,315,0.124598214
51962,658,451,282,0.058098214
52660,179,278,271,0.017401786
52859,180,255,283,0.148098214
53079,120,62,296,0.199598214
53378,179,419,269,0.177098214
53577,120,416,288,0.319598214
53876,279,444,285,0.395098214
54315,379,596,288,0.311598214
54734,120,598,290,0.210598214
54993,498,626,284,0.287598214
55531,120,624,292,0.335598214
55671,120,624,270,0.261598214
56010,160,451,296,0.251598214
56468,100,256,281,
56667,100,70,286,
56787,160,79,293,0.116598214
57724,159,461,275,0.091098214
57983,100,620,294,0.039098214
58263,339,609,298,0.063598214
58721,299,619,293,0.125598214
59080,179,608,300,0.139598214
59299,219,606,294,0.220098214
59698,259,517,254,0.204598214
60137,259,454,276,0.142598214
60416,160,461,290,0.150598214
60595,459,439,249,0.235598214
61074,399,266,249,0.165598214
61492,180,250,240,0.133598214
61772,199,65,250,0.177598214
61991,159,109,260,0.105098214
62190,140,272,242,0.176598214
62489,140,318,233,
62709,359,443,246,0.188098214
63107,160,118,247,0.101098214
64583,259,446,246,
64862,399,441,231,0.136098214
65360,319,271,226,
65759,100,94,239,
65879,239,69,241,0.019098214
66377,159,272,228,0.056098214
66616,120,79,229,0.109598214
66856,479,437,241,
67394,279,440,241,0.170598214
67713,339,268,222,0.076098214
68451,439,280,213,0.159098214
68949,180,444,245,0.116598214
69168,159,456,248,0.115098214
69348,100,451,233,0.151098214
69467,518,451,240,0.148598214
70006,219,447,232,0.093598214
70245,319,446,235,0.111098214
70584,339,460,283,0.096598214
70943,199,466,298,0.130098214
71162,359,451,279,0.131598214
71661,219,444,246,0.053098214
71900,419,435,231,9.82E-05
72338,100,430,237,
72458,658,442,226,0.054901786
73973,140,459,209,0.006598214
74133,339,445,227,0.147098214
74492,419,444,221,
74930,2054,443,231,0.080598214
77024,199,450,269,0.235098214
77442,120,453,279,0.205598214
77582,299,452,271,0.295598214
77901,499,445,250,0.141098214
78439,319,283,238,0.053598214
78798,359,66,254,0.034098214
79456,160,291,222,
79635,299,273,241,
80134,399,264,228,
80593,259,336,237,0.114098214
81131,199,64,238,
81450,578,273,247,
82048,219,314,248,0.055901786
82327,100,274,244,0.029098214
82546,259,60,250,0.031901786
82965,140,264,262,0.131598214
83424,778,616,265,
84241,558,613,277,0.051901786
84819,419,610,270,
85278,259,507,292,0.060598214
85557,140,500,281,0.071598214
85716,100,509,296,
85836,160,507,286,0.108901786
86135,259,506,299,0.093901786
87391,120,520,299,0.138401786
87690,618,523,304,
88448,199,500,287,0.157901786
88986,140,613,273,0.154401786
89166,279,598,283,
89485,140,497,300,0.113401786
89764,219,263,253,0.147901786
90123,299,49,235,0.029401786
90462,259,252,237,0.027598214
90840,179,258,243,0.033598214
91199,219,267,251,0.046401786
91439,100,273,266,
91558,877,270,253,0.060401786
92455,120,289,249,0.128098214
92595,219,325,255,0.171098214
92934,239,330,252,
93193,160,323,252,0.114098214
93372,160,325,253,0.054598214
93572,239,509,288,0.178598214
93831,379,487,275,0.037098214
94230,499,585,280,0.013598214
94748,319,611,290,0.134098214
95326,279,610,288,
95685,140,427,265,0.077598214
95845,279,428,281,0.052598214
96323,180,39,243,0.019401786
96702,160,274,253,
96881,120,276,248,
97101,120,324,270,0.110401786
97320,139,321,264,0.202901786
97480,100,320,264,
97779,199,323,265,
97998,160,322,268,0.010401786
